Date,max_temp,min_temp,avg_temp,dep_temp,hdd,cdd,prec,new_snow,snow_depth
1/1/2018,19,7,13,-22.2,52,0,0,0,T
1/2/2018,26,13,19.5,-15.5,45,0,0,0,0
1/3/2018,30,16,23,-11.8,42,0,0,0,T
1/4/2018,29,19,24,-10.7,41,0,0.76,9.8,1
1/5/2018,19,9,14,-20.5,51,0,0,0,7
1/6/2018,13,6,9.5,-24.9,55,0,0,0,6
1/7/2018,18,5,11.5,-22.7,53,0,0,0,6
1/8/2018,31,17,24,-10.1,41,0,0.01,T,5
1/9/2018,44,30,37,3.1,28,0,0,0,5
1/10/2018,43,30,36.5,2.7,28,0,0,0,4
1/11/2018,53,41,47,13.3,18,0,0,0,3
1/12/2018,61,44,52.5,18.9,12,0,0.54,0,T
1/13/2018,58,19,38.5,5,26,0,0.05,0,0
1/14/2018,25,15,20,-13.4,45,0,0,0,0
1/15/2018,30,16,23,-10.4,42,0,0,0,0
1/16/2018,36,25,30.5,-2.8,34,0,0,0,0
1/17/2018,36,22,29,-4.3,36,0,0.19,0.4,0
1/18/2018,32,18,25,-8.2,40,0,0,0,T
1/19/2018,41,24,32.5,-0.7,32,0,0,0,T
1/20/2018,52,38,45,11.8,20,0,0,0,T
1/21/2018,50,42,46,12.9,19,0,0,0,0
1/22/2018,49,38,43.5,10.4,21,0,0.01,0,0
1/23/2018,60,38,49,15.8,16,0,0.3,0,0
1/24/2018,44,27,35.5,2.3,29,0,0,0,0
1/25/2018,34,23,28.5,-4.7,36,0,0,0,0
1/26/2018,38,26,32,-1.2,33,0,0,0,0
1/27/2018,56,35,45.5,12.2,19,0,0,0,0
1/28/2018,55,46,50.5,17.1,14,0,0.21,0,0
1/29/2018,47,35,41,7.6,24,0,T,0.1,0
1/30/2018,36,24,30,-3.5,35,0,0.11,0.9,0
1/31/2018,33,18,25.5,-8.1,39,0,0,0,0
2/1/2018,45,32,38.5,4.8,26,0,0.05,0,0
2/2/2018,41,17,29,-4.8,36,0,0.18,T,0
2/3/2018,31,16,23.5,-10.4,41,0,0,0,0
2/4/2018,46,30,38,4,27,0,0.96,T,0
2/5/2018,40,26,33,-1.2,32,0,T,0,0
2/6/2018,37,26,31.5,-2.8,33,0,0,0,0
2/7/2018,45,30,37.5,3.1,27,0,0.85,0.5,0
2/8/2018,33,25,29,-5.6,36,0,0,0,0
2/9/2018,39,26,32.5,-2.3,32,0,0,0,0
2/10/2018,50,39,44.5,9.6,20,0,0.58,0,0
2/11/2018,62,45,53.5,18.4,11,0,1.21,0,0
2/12/2018,62,32,47,11.7,18,0,0,0,0
2/13/2018,38,26,32,-3.4,33,0,0,0,0
2/14/2018,53,35,44,8.4,21,0,0.08,0,0
2/15/2018,62,46,54,18.2,11,0,0.16,0,0
2/16/2018,58,36,47,11,18,0,0.09,0,0
2/17/2018,40,28,34,-2.2,31,0,0.52,4.4,0
2/18/2018,44,33,38.5,2.1,26,0,0.01,T,3
2/19/2018,49,36,42.5,5.9,22,0,0.04,0,0
2/20/2018,67,47,57,20.2,8,0,0,0,0
2/21/2018,78,55,66.5,29.5,0,2,0.06,0,0
2/22/2018,59,37,48,10.8,17,0,0.17,0,0
2/23/2018,42,36,39,1.6,26,0,0.06,0,0
2/24/2018,55,42,48.5,10.9,16,0,0.08,0,0
2/25/2018,44,40,42,4.1,23,0,0.73,0,0
2/26/2018,52,43,47.5,9.4,17,0,0,0,0
2/27/2018,56,39,47.5,9.2,17,0,0,0,0
2/28/2018,61,42,51.5,13,13,0,0,0,0
3/1/2018,60,44,52,13.2,13,0,0.38,0,0
3/2/2018,44,34,39,0,26,0,1.86,T,0
3/3/2018,49,36,42.5,3.3,22,0,0,0,0
3/4/2018,44,34,39,-0.5,26,0,0,0,0
3/5/2018,43,33,38,-1.7,27,0,0,0,0
3/6/2018,47,32,39.5,-0.5,25,0,T,0,0
3/7/2018,39,33,36,-4.2,29,0,1.41,3.2,0
3/8/2018,39,33,36,-4.5,29,0,T,T,3
3/9/2018,42,30,36,-4.7,29,0,0,0,2
3/10/2018,40,31,35.5,-5.5,29,0,0,0,T
3/11/2018,45,32,38.5,-2.7,26,0,0,0,0
3/12/2018,43,32,37.5,-4,27,0,0.08,T,0
3/13/2018,40,33,36.5,-5.3,28,0,0.28,T,T
3/14/2018,41,31,36,-6.1,29,0,0.01,T,0
3/15/2018,48,32,40,-2.3,25,0,0,0,0
3/16/2018,40,30,35,-7.6,30,0,0,0,0
3/17/2018,48,27,37.5,-5.4,27,0,0,0,0
3/18/2018,43,28,35.5,-7.7,29,0,0,0,0
3/19/2018,47,33,40,-3.5,25,0,0,0,0
3/20/2018,39,30,34.5,-9.4,30,0,T,0,0
3/21/2018,39,31,35,-9.2,30,0,0.99,8.2,0
3/22/2018,50,32,41,-3.5,24,0,0.06,0.2,8
3/23/2018,49,35,42,-2.8,23,0,T,0,1
3/24/2018,51,35,43,-2.2,22,0,0,0,0
3/25/2018,45,33,39,-6.5,26,0,0,0,0
3/26/2018,50,34,42,-3.9,23,0,0,0,0
3/27/2018,47,34,40.5,-5.7,24,0,0.01,0,0
3/28/2018,52,38,45,-1.6,20,0,0.03,0,0
3/29/2018,53,49,51,4.1,14,0,0.03,0,0
